question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
In 2001 which movie was the first winner of the Best Animated Movie Oscar?,Shrek,,0,0.0,0.0,70,0,0.0,0.0,77,0,0.0,0.0,79,0,0.0,0.0,0
Who wrote the 1951 novel ‘From here to Eternity’?,James Jones,,1,0.21052631578947367,0.0,80,1,0.21052631578947367,0.0,78,1,0.21052631578947367,0.0,80,1,0.21052631578947367,0.0,75
In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple,,0,0.0,0.0,79,0,0.0,0.0,78,0,0.0,0.0,70,0,0.0,0.0,70
What is the more common name for the order Coleoptera which contains more species than any other order in the animal kingdom?,Beetles,,1,0.0,0.0,80,1,0.0,0.0,73,1,0.0,0.0,73,1,0.0,0.0,75
"At which English racecourse did two horses collapse and die in the parade ring due to electrocution, in February 2011?",Newbury,,0,0.0,0.0,76,1,0.0,0.0,74,1,0.0,0.0,80,1,0.0,0.0,80
Which Disney character is brought to life by the Blue Fairy ?,PINOCCHIO,,0,0.0,0.0,80,1,0.0,0.0,79,0,0.0,0.0,80,0,0.0,0.0,69
What items would be collected by a horologist?,CLOCKS,,1,0.0,0.0,73,0,0.0,0.0,77,1,0.0,0.0,73,1,0.0,0.0,75
"In the Shakespeare play ‘The Tempest’, Prospero is the overthrown Duke of ‘where’?",Milan,,1,0.0,0.0,75,1,0.0,0.0,76,0,0.0,0.0,79,1,0.0,0.0,80
The 1938 work The Black Jacobins by C. L. R. James is an account of what upheaval that took place between 1791 and 1804?,Haitian revolution,,1,0.0,0.0,80,1,0.0,0.0,79,1,0.0,0.0,80,1,0.0,0.0,77
"Psychoanalyst A A Brill described what as ‘Torches of Freedom’ in the 1920’s, as symbols of equality for women?",Cigarettes,,1,0.0909090909090909,0.0,80,1,0.16666666666666669,0.0,76,1,0.16666666666666669,0.0,77,1,0.16666666666666669,0.0,77
The A57 road runs from Liverpool to which English town or city?,Lincoln,,0,0.0,0.0,79,0,0.0,0.0,79,1,0.0,0.0,77,1,0.0,0.0,72
Scientist Ernest Rutherford once said all science is just what subject while comparing the rest to stamp collection?,Physics,,1,0.0,0.0,75,0,0.0,0.0,76,1,0.0,0.0,75,1,0.0,0.0,75
A Varsovian is a native of which capital city,Warsaw,,1,0.0,0.0,80,1,0.0,0.0,80,1,0.0,0.0,80,1,0.0,0.0,73
What is the US equivalent of the British Army's SAS?,Delta Force,,0,0.0,0.0,78,0,0.0,0.0,78,0,0.0,0.0,78,0,0.0,0.0,78
Which actor succeeded Marlon Brando as head of the Corleone family in the Godfather films?,Al Pacino,,0,0.0,0.0,80,0,0.0,0.0,75,0,0.0,0.0,80,0,0.0,0.0,80
"""Whose memoirs, published in 2010, were called """"A Journey""""?""",Tony Blair,,0,0.0,0.0,70,0,0.0,0.0,76,0,0.0,0.0,79,0,0.0,0.0,79
"Which artist has a daughter and two sons with Jane Asher, whom he married in 1981?",Gerald Scarfe,,0,0.0,0.0,73,0,0.0,0.0,80,0,0.0,0.0,78,0,0.0,0.0,78
"What is the most common blood type in humans? A, B or O?",O,,1,0.0,0.0,79,1,0.0,0.0,78,1,0.0,0.0,79,1,0.0,0.0,79
"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",Nick Hornby,,0,0.0,0.0,80,0,0.0,0.0,79,0,0.0,0.0,80,0,0.0,0.0,78
Madame de Pompadour and Madame du Barry were mistresses of which French King?,Louis XV,,0,0.0,0.0,72,0,0.0,0.0,80,1,0.14285714285714288,0.0,80,1,0.1111111111111111,0.0,76
Who was Wolfe’s opposing French general who died with him on the Plains of Abraham?,Montcalm,,1,1.0,1.0,65,1,1.0,1.0,65,0,0.0,0.0,66,1,0.0,0.0,75
Appointed on June 22nd 2011 who is the current manager of Birmingham City FC?,CHRIS HUGHTON,,0,0.0,0.0,76,0,0.0,0.0,78,0,0.0,0.0,78,0,0.0,0.0,80
What is the name of the German magazine which claimed in 1983 to have found Hitler's diaries?,Stern,,1,0.0,0.0,77,1,0.0,0.0,74,1,0.0,0.0,74,1,0.0,0.0,77
"Common, Arctic and Sooty are all varieties of which bird?",TERN,,0,0.0,0.0,78,0,0.0,0.0,80,0,0.0,0.0,78,0,0.0,0.0,78
What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol,,0,0.0,0.0,67,0,0.0,0.0,72,0,0.0,0.0,67,0,0.0,0.0,67
The city of Leeds stands on which river?,AIRE,,0,0.0,0.0,80,0,0.0,0.0,77,1,0.0,0.0,77,1,0.0,0.0,78
What is the official summer sport of Canada?,LACROSSE,,1,0.0,0.0,76,1,0.0,0.0,78,1,0.0,0.0,80,1,0.0,0.0,79
H'Angus the Monkey is the mascot of which English football club?,Hartlepool United,,1,0.3636363636363636,0.0,80,1,0.3636363636363636,0.0,73,1,0.3636363636363636,0.0,80,1,0.3636363636363636,0.0,80
Tahini paste is made by grinding which seeds?,Sesame,,1,0.0,0.0,79,1,0.0,0.0,80,1,0.0,0.0,79,1,0.0,0.0,77
Which US folk singer had the words “This machine kills fascists” written on his guitar?,Woody Guthrie,,1,0.0,0.0,75,0,0.0,0.0,74,1,0.0,0.0,75,1,0.0,0.0,75
By what name was the shipping area Fitzroy known until 2002?,Finisterre,,1,0.0,0.0,67,1,0.0,0.0,79,1,0.0,0.0,77,1,0.0,0.0,77
"""""""Alba"""" is the Gaelic name for what?""",Scotland,,1,0.25,0.0,75,1,0.25,0.0,79,1,0.0,0.0,78,1,0.25,0.0,73
"Which journalist and author won the fifth series of I'm A Celebrity, Get Me Out Of Here in 2005, beating Cannon and Ball, Jimmy Osmond and Sheree Murphy amongst others?",CAROL THATCHER,,1,0.0,0.0,73,1,0.0,0.0,74,0,0.0,0.0,74,1,0.0,0.0,79
A dress worn at President John F Kennedy's birthday party at Madison Square Garden on 19 May 1962 was sold at auction in 1999 for $1.26 million. Who wore it at the party?,Marilyn Munroe,,0,0.0,0.0,80,0,0.05128205128205129,0.0,80,0,0.0,0.0,78,0,0.0,0.0,78
