question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
Where does the founder of Les Films Du Losange work at?,Cahiers du cinéma,compositional,0,0.0,0.0,383,1,0.0,0.0,373,0,0.0,0.0,383,1,0.0,0.0,359
Are director of film Susanna Whipped Cream and director of film Le Salamandre both from the same country?,yes,bridge_comparison,0,0.0,0.0,224,0,0.0,0.0,224,0,0.0,0.0,224,0,0.0,0.0,224
Who is Wisigard's father-in-law?,Theuderic I,inference,1,0.0,0.0,348,1,0.0,0.0,348,1,0.0,0.0,348,1,0.0,0.0,348
Which country the director of film Hotel By The Hour is from?,Austria,compositional,1,0.0,0.0,296,1,0.0,0.0,296,1,0.0,0.0,296,1,0.0,0.0,296
"Who lived longer, Friedrich Paschen or Ernst Bessey?",Friedrich Paschen,comparison,1,0.07142857142857144,0.0,379,1,0.07142857142857144,0.0,377,1,0.07142857142857144,0.0,379,1,0.07142857142857144,0.0,379
"Which film has the director born later, The Fighting Demon or Blood Of The Losers?",Blood Of The Losers,bridge_comparison,1,0.0,0.0,241,1,0.0,0.0,241,1,0.0,0.0,241,1,0.0,0.0,241
Who is Ieuan Ab Owain Glyndŵr's paternal grandfather?,Gruffudd Fychan II,inference,0,0.0,0.0,379,0,0.0,0.0,379,0,0.0,0.0,379,0,0.0,0.0,379
"Which film has the director died later, The Life And Loves Of Tschaikovsky or Dokuz Dağın Efesi?",Dokuz Dağın Efesi,bridge_comparison,1,0.0,0.0,354,1,0.0,0.0,354,1,0.0,0.0,354,1,0.0,0.0,354
What is the date of birth of Frederick Of Liege's father?,1027,compositional,1,0.0,0.0,303,1,0.0,0.0,303,1,0.0,0.0,303,1,0.0,0.0,303
"Where did the director of film Nalini By Day, Nancy By Night graduate from?",Mount Holyoke College,compositional,1,0.0,0.0,335,1,0.0,0.0,335,1,0.0,0.0,335,1,0.0,0.0,335
"Which film has the director born later, Brutti Di Notte or Bir Türk'E Gönül Verdim?",Bir Türk'E Gönül Verdim,bridge_comparison,1,0.0,0.0,220,1,0.0,0.0,220,1,0.0,0.0,220,1,0.0,0.0,220
Who is Rostislav I Of Kiev's paternal grandfather?,Vladimir II Monomakh,inference,0,0.044444444444444446,0.0,354,0,0.04081632653061224,0.0,354,0,0.044444444444444446,0.0,354,0,0.0,0.0,354
"Which film has the director born later, Life Hits or It'S In The Air?",Life Hits,bridge_comparison,1,0.0,0.0,181,1,0.0,0.0,181,1,0.0,0.0,181,1,0.0,0.0,181
"Which film whose director is younger, A Night'S Adventure or Insaciable?",Insaciable,bridge_comparison,1,0.0,0.0,331,1,0.0,0.0,331,1,0.0,0.0,331,1,0.0,0.0,331
What is the place of birth of the composer of film Men With Brooms?,Calgary,compositional,0,0.0,0.0,317,0,0.0,0.0,317,0,0.0,0.0,317,0,0.0,0.0,317
"Which film has the director born later, Battle Of Memories or The Wedding Of Lilli Marlene?",Battle Of Memories,bridge_comparison,1,0.28571428571428575,0.0,281,1,0.28571428571428575,0.0,281,1,0.28571428571428575,0.0,281,1,0.28571428571428575,0.0,281
Where was the director of film Aylwin (Film) born?,"Weston-super-Mare, Somerset",compositional,1,0.0,0.0,314,1,0.0,0.0,314,1,0.0,0.0,314,1,0.0,0.0,314
"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",Hanuman Patal Vijay,bridge_comparison,1,0.0,0.0,299,1,0.0,0.0,299,1,0.0,0.0,299,1,0.0,0.0,299
Were Gotthilf Heinrich Ernst Muhlenberg and Todd Williams of the same nationality?,yes,comparison,0,0.0,0.0,381,0,0.0,0.0,361,0,0.0,0.0,381,0,0.0,0.0,361
What is the date of death of Peter Dale Scott's mother?,28 November 1993,compositional,1,0.0,0.0,375,1,0.0,0.0,375,1,0.0,0.0,375,1,0.0,0.0,375
Where did the founder of Ford Australia die?,Dearborn,compositional,0,0.0,0.0,375,1,0.0,0.0,371,0,0.0,0.0,375,0,0.0,0.0,377
"Which film has the director who is older than the other, Rolling In Money or A Fine, Windy Day? ",Rolling In Money,bridge_comparison,1,0.25,0.0,287,1,0.25,0.0,287,1,0.25,0.0,287,1,0.25,0.0,287
"Which film has the director born later, Best Of The Best 3: No Turning Back or Ven Mi Corazón Te Llama?",Best Of The Best 3: No Turning Back,bridge_comparison,1,0.0,0.0,371,1,0.0,0.0,381,1,0.0,0.0,371,1,0.0,0.0,363
"Which film has the director who died later, The Death Kiss or Her Luck In London?",Her Luck In London,bridge_comparison,1,0.0,0.0,362,1,0.0,0.0,362,1,0.0,0.0,362,1,0.0,0.0,362
"When did Joanna Of Aragon, Countess Of Foix's mother die?",23 October 1378,compositional,0,0.0,0.0,375,0,0.048780487804878044,0.0,383,0,0.048780487804878044,0.0,372,0,0.048780487804878044,0.0,372
"Which film whose director is younger, Hell To Pay (2014 Film) or Darwin'S Nightmare?",Darwin'S Nightmare,bridge_comparison,1,0.0,0.0,373,1,0.0,0.0,384,1,0.0,0.0,373,1,0.0,0.0,382
"Which film has the director who was born later, Así En El Cielo Como En La Tierra or Buck And The Preacher?",Así En El Cielo Como En La Tierra,bridge_comparison,1,0.5161290322580645,0.0,328,1,0.4324324324324324,0.0,328,1,0.4324324324324324,0.0,328,1,0.4324324324324324,0.0,328
"What is the date of death of Philibert I, Duke Of Savoy's mother?",23 August 1478,compositional,1,0.0,0.0,379,0,0.0,0.0,375,1,0.0,0.0,379,1,0.0,0.0,375
Which country Count Of St. Germain's father is from?,Hungarian,compositional,0,0.0,0.0,378,0,0.0,0.0,382,0,0.0,0.0,378,0,0.0,0.0,381
Where was the director of film He'S A Cockeyed Wonder born?,London,compositional,0,0.0,0.0,303,0,0.0,0.0,303,0,0.0,0.0,303,0,0.0,0.0,303
"Which film has the director died first, Köpekler Adası or Twisted Mistress?",Twisted Mistress,bridge_comparison,1,0.0,0.0,330,1,0.0,0.0,330,1,0.0,0.0,330,1,0.0,0.0,330
Which award the composer of film Howrah Bridge (Film) earned?,Filmfare Award,compositional,1,0.0,0.0,329,1,0.0,0.0,329,1,0.0,0.0,329,1,0.0,0.0,329
"Which film came out earlier, Der Wixxer or The Butterfly Room?",Der Wixxer,comparison,1,1.0,1.0,368,1,1.0,1.0,368,1,1.0,1.0,368,1,1.0,1.0,368
"Where was the husband of Wilhelmine Of Prussia, Margravine Of Brandenburg-Bayreuth born?",Weferlingen,compositional,1,0.0,0.0,380,1,0.0,0.0,371,1,0.0,0.0,380,1,0.0,0.0,366
Where did the director of film Things Behind The Sun study?,"UCLA School of Theater, Film and Television",compositional,1,0.05714285714285715,0.0,351,1,0.05714285714285715,0.0,351,1,0.05714285714285715,0.0,351,1,0.05714285714285715,0.0,351
"Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?",no,comparison,1,0.0,0.0,371,1,0.0,0.0,371,1,0.0,0.0,371,1,0.0,0.0,371
"Which film was released first, My Friend Pinto or Vindhyarani?",Vindhyarani,comparison,1,0.0,0.0,338,1,0.0,0.0,338,1,0.0,0.0,338,1,0.0,0.0,338
Was Ausaf Ali or Steven Perry born first?,Ausaf Ali,comparison,1,0.0,0.0,267,1,0.0,0.0,267,1,0.0,0.0,267,1,0.0,0.0,267
What is the place of birth of Aurelio De Laurentiis's father?,Torre Annunziata,compositional,0,0.0,0.0,314,0,0.0,0.0,314,0,0.0,0.0,314,0,0.0,0.0,314
Where was the founder of magazine Amazing Stories born?,Luxembourgish,compositional,1,0.0,0.0,382,0,0.0,0.0,373,1,0.0,0.0,382,1,0.0,0.0,352
Where did Crow Foot's father die?,United States,compositional,1,0.19999999999999998,0.0,381,1,0.19999999999999998,0.0,384,1,0.19999999999999998,0.0,381,1,0.19999999999999998,0.0,360
Who is Amalie Adlerberg's stepfather?,"Karl Alexander, 5th Prince of Thurn and Taxis",inference,0,0.052631578947368425,0.0,370,0,0.052631578947368425,0.0,370,0,0.052631578947368425,0.0,370,0,0.052631578947368425,0.0,370
"Which film whose director is younger, Outlaw King or Gunman'S Walk?",Outlaw King,bridge_comparison,1,0.0,0.0,382,1,0.0,0.0,382,1,0.0,0.0,382,1,0.0,0.0,382
"Which film was released more recently, Scandal At The Girls' School or One Dangerous Night?",Scandal At The Girls' School,comparison,1,0.6666666666666666,0.0,307,1,0.22222222222222224,0.0,307,1,0.6666666666666666,0.0,307,1,0.6666666666666666,0.0,307
Which country Ronald Dewolf's father is from?,American,compositional,1,0.0,0.0,383,1,0.0,0.0,372,1,0.0,0.0,383,1,0.0,0.0,377
Where was the place of death of the director of film Romulus And The Sabines?,Le Plessis-Bouchard,compositional,1,0.0,0.0,355,1,0.0,0.0,355,1,0.0,0.0,355,1,0.0,0.0,355
What is the place of birth of the director of film The Return Of Swamp Thing?,New York,compositional,1,0.0,0.0,378,1,0.0,0.0,382,1,0.0,0.0,378,1,0.0,0.0,348
Who is the father of the director of film The Thousand Faces Of Dunjia?,Yuen Siu-tien,compositional,1,0.09523809523809525,0.0,320,1,0.09523809523809525,0.0,320,1,0.09523809523809525,0.0,320,1,0.09523809523809525,0.0,320
"Which film has the director who is older, Aardram or Land And Freedom?",Land And Freedom,bridge_comparison,1,0.2727272727272727,0.0,376,1,0.2727272727272727,0.0,374,1,0.2727272727272727,0.0,376,1,0.2727272727272727,0.0,376
"Which film came out first, Stella'S Oorlog or Sampathige Savaal?",Sampathige Savaal,comparison,1,0.0,0.0,331,1,0.0,0.0,331,1,0.0,0.0,331,1,0.0,0.0,331
"Who was born later, Jean-Jacques Rousseau or Richard Cawley?",Richard Cawley,comparison,1,0.0,0.0,378,1,0.0,0.0,370,1,0.0,0.0,378,1,0.0,0.0,367
Where did the director of film Journal Of A Crime die?,New York,compositional,1,0.15384615384615385,0.0,361,1,0.15384615384615385,0.0,361,1,0.15384615384615385,0.0,361,1,0.15384615384615385,0.0,361
What is the place of birth of the director of film Growing Up Smith?,Melbourne,compositional,0,0.0,0.0,358,0,0.0,0.0,358,0,0.0,0.0,358,0,0.0,0.0,358
What is the place of birth of the composer of song Bullet (Misfits Song)?,"Lodi, New Jersey",compositional,0,0.0,0.0,372,0,0.0,0.0,372,0,0.0,0.0,372,0,0.0,0.0,372
What nationality is Prince Napoléon Bonaparte's father?,French,compositional,1,0.0,0.0,380,1,0.0,0.0,353,1,0.0,0.0,380,1,0.0,0.0,378
Where was the place of death of the director of film Sensational Janine?,Gräfelfing,compositional,1,0.05405405405405406,0.0,360,1,0.05405405405405406,0.0,360,1,0.05405405405405406,0.0,360,1,0.05405405405405406,0.0,360
"What is the date of death of Charles Mills, 1St Baron Hillingdon's father?",4 October 1872,compositional,1,0.0,0.0,367,1,0.0,0.0,371,1,0.0,0.0,367,1,0.0,0.0,351
"Do the movies Seven Sinners (1936 Film) and Everyday (Film), originate from the same country?",yes,comparison,0,0.0,0.0,353,0,0.0,0.0,353,0,0.0,0.0,353,0,0.0,0.0,353
"Which film has the director born later, Occhio, Malocchio, Prezzemolo E Finocchio or Jailhouse Rock (Film)?","Occhio, Malocchio, Prezzemolo E Finocchio",bridge_comparison,1,0.7499999999999999,0.0,345,1,0.7499999999999999,0.0,345,1,0.7499999999999999,0.0,345,1,0.7499999999999999,0.0,345
What is the place of birth of Henrik Selberg's father?,Flora,compositional,0,0.0,0.0,298,0,0.0,0.0,298,0,0.0,0.0,298,0,0.0,0.0,298
Where did M. K. Muthu's father die?,kauvery hospital,compositional,1,0.0,0.0,336,1,0.0,0.0,336,1,0.0,0.0,336,1,0.0,0.0,336
"Who is the paternal grandfather of James Fitzgerald, 8Th Earl Of Desmond?","James FitzGerald, 6th Earl of Desmond",inference,1,0.21052631578947367,0.0,379,1,0.21052631578947367,0.0,380,1,0.21052631578947367,0.0,382,1,0.21052631578947367,0.0,382
"Which film has the director who was born later, Attack Of Life: The Bang Tango Movie or King Kong (2005 Film)?",Attack Of Life: The Bang Tango Movie,bridge_comparison,1,0.0,0.0,375,1,0.0,0.0,374,1,0.0,0.0,374,1,0.0,0.0,380
Where did Niklas Frank's father die?,Nuremberg,compositional,1,0.0,0.0,369,1,0.0,0.0,369,1,0.0,0.0,369,1,0.0,0.0,369
Who is Mary Of Bourbon's paternal grandfather?,Francis,inference,1,0.0,0.0,373,1,0.0,0.0,366,1,0.0,0.0,373,1,0.0,0.0,383
Who is the paternal grandfather of Diarmait Ua Briain?,Tadc mac Briain,inference,1,0.09230769230769231,0.0,371,1,0.10526315789473684,0.0,377,1,0.09230769230769231,0.0,371,1,0.0909090909090909,0.0,383
Where did the director of film Search And Destroy (1995 Film) study?,California Institute of the Arts,compositional,0,0.0,0.0,351,0,0.0,0.0,351,0,0.0,0.0,351,0,0.0,0.0,351
