question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,bridge,1,0.0,0.0,80,1,0.0,0.0,76,1,0.0,0.0,80,1,0.0,0.0,80
Black Book starred the actress and writer of what heritage?,Dutch,bridge,1,0.0,0.0,74,1,0.0,0.0,71,1,0.0,0.0,74,1,0.0,0.0,80
Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,bridge,0,0.0,0.0,70,0,0.0,0.0,77,0,0.0,0.0,77,0,0.0,0.0,77
Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,bridge,0,0.0,0.0,74,0,0.0,0.0,79,0,0.0,0.0,79,0,0.0,0.0,79
"Between Greyia and Calibanus, which genus contains more species?",Greyia,comparison,1,0.0,0.0,73,1,0.0,0.0,80,1,0.0,0.0,73,1,0.0,0.0,73
Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,comparison,0,0.0,0.0,70,0,0.0,0.0,76,0,0.0,0.0,70,0,0.0,0.0,70
Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,bridge,1,0.1,0.0,68,1,0.1,0.0,68,0,0.0,0.0,79,1,0.1,0.0,78
which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,bridge,1,0.0,0.0,80,1,0.0,0.0,79,1,0.0,0.0,76,1,0.0,0.0,76
Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,bridge,1,0.08,0.0,71,1,0.08,0.0,78,1,0.08,0.0,71,1,0.08,0.0,71
Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,bridge,1,0.0,0.0,69,1,0.0,0.0,69,1,0.0,0.0,69,1,0.0,0.0,69
The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",bridge,0,0.08333333333333334,0.0,72,0,0.08333333333333334,0.0,79,0,0.0,0.0,77,0,0.0,0.0,77
"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,bridge,1,0.0,0.0,76,1,0.0,0.0,79,1,0.0,0.0,76,1,0.0,0.0,76
"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,bridge,0,0.0,0.0,74,0,0.0,0.0,79,0,0.0,0.0,74,0,0.0,0.0,79
In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",bridge,0,0.0,0.0,78,0,0.0,0.0,75,0,0.0,0.0,78,0,0.0,0.0,78
"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,bridge,1,0.0,0.0,79,1,0.0,0.0,79,1,0.0,0.0,79,1,0.0,0.0,70
What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,bridge,0,0.0,0.0,74,1,0.0,0.0,78,0,0.0,0.0,80,0,0.0,0.0,80
A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,bridge,0,0.0,0.0,80,0,0.0,0.0,80,0,0.0,0.0,71,0,0.0,0.0,71
Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,bridge,1,0.0,0.0,72,1,0.0,0.0,73,1,0.0,0.0,78,1,0.0,0.0,78
What class of instrument does Apatim Majumdar play?,strings,bridge,0,0.0,0.0,78,0,0.0,0.0,80,0,0.0,0.0,78,0,0.0,0.0,78
" Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,comparison,1,0.19999999999999998,0.0,76,1,0.19999999999999998,0.0,76,0,0.0,0.0,77,0,0.0,0.0,80
Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs,comparison,1,0.0,0.0,76,1,0.0,0.0,78,1,0.0,0.0,71,1,0.0,0.0,71
The Prussian General Carl von Clausewitz is associated with what type of realism?,Modern thinkers associated with classical realism are Carl von Clausewitz,bridge,1,0.8,0.0,80,1,0.8,0.0,79,0,0.4285714285714285,0.0,75,1,0.8,0.0,80
What where both Hawker Hurricane and No. 1455 Flight apart of?,Royal Air Force,bridge,1,0.0,0.0,79,1,0.0,0.0,71,1,0.0,0.0,79,1,0.0,0.0,79
what language did the ethnic group which Torstein Ellingsen was its drumer  speaks ,Norwegian language,bridge,0,0.0,0.0,80,0,0.0,0.0,77,0,0.0,0.0,80,0,0.0,0.0,79
"From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?",the Parthian Empire,bridge,1,0.11764705882352941,0.0,76,1,0.11764705882352941,0.0,77,1,0.11764705882352941,0.0,76,1,0.11764705882352941,0.0,80
"Beer Wars covers the differences between large corporate breweries, and small breweries, such as what brewery that is headquartered in Escondido, california?",Stone Brewing,bridge,1,0.0,0.0,80,1,0.0,0.0,75,1,0.3636363636363636,0.0,74,1,0.3636363636363636,0.0,74
"Which head coach has led their team for a longer period of time, Tim Cluess or Steve Prohm?",Tim Cluess,bridge,1,0.5,0.0,72,1,0.5,0.0,74,1,0.5,0.0,72,1,0.5,0.0,78
During what war were the Russia-United Kingdom relations in a state of rivalry after the abdication of Emperor Nicholas II? ,the Cold War (1947–91),bridge,1,0.0,0.0,78,1,0.0,0.0,80,0,0.0,0.0,78,0,0.0,0.0,78
How far from Sacramento is the flight school in Atwater?,about 115 miles (185 km),bridge,0,0.0,0.0,79,1,0.0,0.0,79,1,0.0,0.0,77,1,0.0,0.0,76
Baraki Barak District is situated in the western part of a province whose capital is what?,Puli Alam,bridge,0,0.0,0.0,74,1,0.0,0.0,76,0,0.0,0.0,74,0,0.0,0.0,76
What was the 2010 population of the town where Black Crescent Mountain was located? ,310,bridge,0,0.0,0.0,76,1,0.0,0.0,79,0,0.0,0.0,76,0,0.0,0.0,76
"In the NASA mission where Moon trees were taken into space, what was the nickname of the Command Module?","""Kitty Hawk""",bridge,0,0.0,0.0,68,0,0.0,0.0,77,0,0.0,0.0,77,0,0.0,0.0,77
Which comic series involves characters such as Nick Fury and Baron von Strucker?,Marvel,bridge,1,0.15384615384615385,0.0,71,1,0.0,0.0,78,1,0.15384615384615385,0.0,78,1,0.15384615384615385,0.0,78
College Humor is a 1933 American pre-Code musical comedy film that starred what American singer and actor who has a trademark warm bass-baritone voice?,"Harry Lillis ""Bing"" Crosby Jr.",bridge,0,0.12903225806451613,0.0,79,1,0.12903225806451613,0.0,77,0,0.12903225806451613,0.0,74,0,0.12903225806451613,0.0,74
Who is writing a book about the Koch family who control the second-largest privately owned company in the United States?,Jane Mayer,bridge,0,0.0,0.0,80,0,0.0,0.0,80,0,0.0,0.0,80,0,0.0,0.0,80
New York State Route 9R rejoins its parent in a hamlet located  in what New York County?,Albany,bridge,1,0.0,0.0,65,1,0.0,0.0,75,1,0.0,0.0,65,1,0.0,0.0,65
