question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
Where did France focus its efforts to rebuild its empire?,Africa,,1,0.04545454545454545,0.0,109,1,0.04545454545454545,0.0,109,1,0.04545454545454545,0.0,109,1,0.04545454545454545,0.0,109
What protestant religions made Northern European counties safe for Huguenot immigration?,Lutheran and Reformed,,1,0.0,0.0,162,1,0.0,0.0,162,1,0.0,0.0,162,1,0.0,0.0,162
BQP and QMA are examples of complexity classes most commonly associated with what type of Turing machine?,quantum,,1,0.05405405405405406,0.0,67,1,0.05405405405405406,0.0,67,1,0.05405405405405406,0.0,67,1,0.05405405405405406,0.0,67
What was Apple Talk ,a proprietary suite of networking protocols developed by Apple Inc. in 1985,,0,0.15384615384615385,0.0,75,0,0.15384615384615385,0.0,75,0,0.15384615384615385,0.0,75,0,0.15384615384615385,0.0,75
What happens when bathocyroe and ocyropsis clap their lobes together?,jet of expelled water drives them backwards very quickly.,,1,0.5142857142857142,0.0,160,1,0.5142857142857142,0.0,160,1,0.5142857142857142,0.0,160,1,0.5142857142857142,0.0,160
The Amazon region is home to how many species of insect?,2.5 million,,1,0.0,0.0,90,1,0.0,0.0,90,1,0.0,0.0,90,1,0.0,0.0,90
Of what group in the periodic table is oxygen a member?,chalcogen,,1,0.0,0.0,135,1,0.0,0.0,135,1,0.0,0.0,135,1,0.0,0.0,135
Which Spanish officer established the settlement at St. Augustine?,Pedro Menéndez de Avilés,,1,0.2666666666666667,0.0,132,1,0.2666666666666667,0.0,132,1,0.2666666666666667,0.0,132,1,0.2666666666666667,0.0,132
What did a greedy merchant do to the mermaid?,captured,,1,0.0,0.0,117,1,0.0,0.0,117,1,0.0,0.0,117,1,0.0,0.0,117
Where does the Rhine river's measurement begin?,Old Rhine Bridge at Constance,,1,0.28571428571428575,0.0,95,1,0.28571428571428575,0.0,95,1,0.28571428571428575,0.0,95,1,0.28571428571428575,0.0,95
What Swiss city was the center of the Calvinist movement?,Geneva,,1,0.0,0.0,213,1,0.0,0.0,213,1,0.0,0.0,213,1,0.0,0.0,213
When are subject committees established?,beginning of each parliamentary session,,1,0.0,0.0,79,1,0.0,0.0,79,1,0.0,0.0,79,1,0.0,0.0,79
Persistent unemployment has what effect on long-term economic growth?,negative,,1,0.11764705882352941,0.0,102,1,0.11764705882352941,0.0,102,1,0.11764705882352941,0.0,102,1,0.11764705882352941,0.0,102
What implication can be derived for P and NP if P and co-NP are established to be unequal?,P is not equal to NP,,1,0.2857142857142857,0.0,59,1,0.2857142857142857,0.0,59,1,0.2857142857142857,0.0,59,1,0.2857142857142857,0.0,59
What is the problem attributed to defining if two finite graphs are isomorphic?,The graph isomorphism problem,,1,0.35294117647058826,0.0,114,1,0.35294117647058826,0.0,114,1,0.35294117647058826,0.0,114,1,0.35294117647058826,0.0,114
What is located within this district?,the oldest street in the United States of America,,1,0.18181818181818182,0.0,105,1,0.18181818181818182,0.0,105,1,0.18181818181818182,0.0,105,1,0.18181818181818182,0.0,105
What would be needed to host a larger population?,agriculture,,1,0.0,0.0,147,1,0.0,0.0,147,1,0.0,0.0,147,1,0.0,0.0,147
What does ctenophora rely on for digestion and respiration?,water flow through the body cavity,,1,0.0,0.0,161,1,0.0,0.0,161,1,0.0,0.0,161,1,0.0,0.0,161
What molecules of the adaptive immune system only exist in jawed vertebrates?,immunoglobulins and T cell receptors,,1,0.4166666666666667,0.0,107,1,0.4166666666666667,0.0,107,1,0.4166666666666667,0.0,107,1,0.4166666666666667,0.0,107
What have the two different Islamist movements been described as oscillating between?,poles,,1,0.0,0.0,121,1,0.0,0.0,121,1,0.0,0.0,121,1,0.0,0.0,121
"According to reduction, if X and Y can be solved by the same algorithm then X performs what function in relationship to Y?",reduces,,1,0.05405405405405406,0.0,104,1,0.0,0.0,104,1,0.05405405405405406,0.0,104,1,0.05405405405405406,0.0,104
What part of the Rhine flows through North Rhine-Westphalia?,Lower Rhine,,1,0.5,0.0,133,1,0.5,0.0,133,1,0.5,0.0,133,1,0.5,0.0,133
What must the adoption of laws which will have legal effect in the EU have?,a proper legal basis,,1,0.3157894736842105,0.0,213,1,0.3157894736842105,0.0,213,1,0.3157894736842105,0.0,213,1,0.3157894736842105,0.0,213
What was used to create a new electromagnetic theory to reconcile the troubles with electromagnetic theory as it used to stand?,quantum mechanics,,1,0.0,0.0,85,1,0.0,0.0,85,1,0.0,0.0,85,1,0.0,0.0,85
What city served as Poland's capital in 1313?,Kraków,,1,0.0,0.0,267,1,0.0,0.0,267,1,0.0,0.0,267,1,0.0,0.0,267
What force acted on bodies to retard their velocity?,friction,,1,0.0625,0.0,98,1,0.0625,0.0,98,1,0.0625,0.0,98,1,0.0625,0.0,98
How was the Dutch name for the Rhine originally spelled? ,Rhijn,,1,0.0,0.0,153,1,0.0,0.0,153,1,0.0,0.0,153,1,0.0,0.0,153
"According to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",means to invest,,1,0.0,0.0,125,1,0.0,0.0,125,1,0.0,0.0,125,1,0.0,0.0,125
What was believed to be the cause of devastation to the civilization?,diseases from Europe,,1,0.0,0.0,146,1,0.0,0.0,146,1,0.0,0.0,146,1,0.0,0.0,146
The Maroons compete in what league division?,NCAA's Division III,,1,0.375,0.0,119,1,0.375,0.0,119,1,0.375,0.0,119,1,0.375,0.0,119
Where is much of the work of the Scottish Parliament done?,committee,,1,0.18181818181818182,0.0,99,1,0.18181818181818182,0.0,99,1,0.18181818181818182,0.0,99,1,0.18181818181818182,0.0,99
What did Tymnet connect ,"connect host computers (servers)at thousands of large companies, educational institutions, and government agencies",,1,0.0,0.0,137,1,0.0,0.0,137,1,0.0,0.0,137,1,0.0,0.0,137
Who did Alexander I marry?,Sybilla of Normandy,,1,0.05263157894736842,0.0,172,1,0.05263157894736842,0.0,172,1,0.05263157894736842,0.0,172,1,0.05263157894736842,0.0,172
"At first, what did oxygen and iron combine to form?",banded iron formations,,1,0.24000000000000002,0.0,92,1,0.24000000000000002,0.0,92,1,0.24000000000000002,0.0,92,1,0.24000000000000002,0.0,92
What was the objective of Royal Proclamation of 1763?,outlined the division and administration of the newly conquered territory,,1,0.0,0.0,150,1,0.0,0.0,150,1,0.0,0.0,150,1,0.0,0.0,150
Health problems were lower in places with higher levels of what?,equality,,1,0.0,0.0,113,1,0.0,0.0,113,1,0.0,0.0,113,1,0.0,0.0,113
What did Joseph Haas say in his email?,"""Wise up or die.""",,1,0.0,0.0,93,1,0.0,0.0,93,1,0.0,0.0,93,1,0.0,0.0,93
Telnet was sold to ,Telenet was incorporated in 1973 and started operations in 1975. It went public in 1979 and was then sold to GTE,,0,0.6875000000000001,0.0,110,0,0.6875000000000001,0.0,110,0,0.6875000000000001,0.0,110,0,0.6875000000000001,0.0,110
By what process is singlet oxygen made in the tropophere?,photolysis of ozone,,1,0.0,0.0,115,1,0.0,0.0,115,1,0.0,0.0,115,1,0.0,0.0,115
How has this debate been proven?,This debate has proved difficult,,1,0.5714285714285715,0.0,162,1,0.5714285714285715,0.0,162,1,0.5714285714285715,0.0,162,1,0.5714285714285715,0.0,162
What group of people performed revolutionary civil disobedience toward the Austrian government?,Hungarians,,1,0.11764705882352941,0.0,160,1,0.11764705882352941,0.0,160,1,0.11764705882352941,0.0,160,1,0.11764705882352941,0.0,160
What was the name of the first Huguenot outpost in South Carolina?,Charlesfort,,1,0.0,0.0,132,1,0.0,0.0,132,1,0.0,0.0,132,1,0.0,0.0,132
